"userid","userlocation","statusid","statustime","tweet"
"710288623355039744","New York, USA","856567174260867072","2017-04-24 17:55:03","@CameronMoulene @realDonaldTrump Lmao says the idiot"
"771170963568201728","New York, USA","856567146108866562","2017-04-24 17:54:56","@realDonaldTrump Prescription drug prices must be dealt with asap. @POTUS @realDonaldTrump"
"710288623355039744","New York, USA","856567095068205056","2017-04-24 17:54:44","@realDonaldTrump I fled texas ...to dangerous down south"
"16654024","NEW YORK, NEW YORK","856567021089300480","2017-04-24 17:54:26","@realDonaldTrump Keep up the good work. Outstanding job you are doing"
"745692688016621569","TX girl in NYC.","856566963912527876","2017-04-24 17:54:13","A patient asked me how I feel about having Donald Trump as my President. I wanted to let him pour bleach in my eyes and say, ""like that."""
"1195771243","New York, USA","856566924515332096","2017-04-24 17:54:03","@CBSNews Trump setting more records in first 100."
"3513787942","New York, NY","856566768608968704","2017-04-24 17:53:26","All 100 Senators asked to the White House on Wednesday night for classified briefing by Tillerson, Mattis, Coats, Dunford on North Korea"
"1098615836","New York, NY","856566703857295362","2017-04-24 17:53:11","the entire U.S. Senate will go to @WhiteHouse on Wednesday for briefing on the situation in North Korea--senior Senate aides told Fox News"
"281520927","New York USA","856566626484879360","2017-04-24 17:52:52","@realDonaldTrump you are poisoning this nation"
"852534290479017984","New York, NY","856566497623375872","2017-04-24 17:52:21","UN Amb. @NikkiHaley: Pres. Trump meeting with UN Security Council ""shows that the president is very engaged on foreign policy."""
"281520927","New York USA","856566398813908992","2017-04-24 17:51:58","@TheDailyEdge @Brooke888888 @realDonaldTrump filth always supports filthy pussygrabbing"
"23769005","New York ","856566315091361792","2017-04-24 17:51:38","@BlueLotusDC @AP @realDonaldTrump What?"
"18532087","New York, usually.","856566297626333185","2017-04-24 17:51:34","@danpfeiffer She can pretend to be in a TV and give Trump briefings."
"8839632","New York","856566166915084288","2017-04-24 17:51:03","""China has been very, very helpful"" in ""dealing with North Korea"" crisis, White House says."
"32500756","new york new york","856566128746926080","2017-04-24 17:50:53","@realDonaldTrump Asshat. You have no plan."
"45399148","New Yorker in D.C. ","856566105418104833","2017-04-24 17:50:48","Trump administration is ""committed to tamping out prejudice and anti-Semitism anywhere it is found,"" Spicer says"
"856564131247292418","Bronx, New York","856566032118558723","2017-04-24 17:50:30","@realDonaldTrump Dream On Clown!"
"703388655520489473","Manhattan, NYC","856566026959560706","2017-04-24 17:50:29","@AP @CharlesMBlow Trump and Co. are going to be pissed."
"247077264","New York","856566010245152770","2017-04-24 17:50:25","@darionavarro111 Trump is unfit to serve and should be removed from office."
"381573397","New York, USA","856566008076787712","2017-04-24 17:50:25","New episode of @NancyPodcast was fantastic. Talking about LGBT Republicans in Trump era"
"710288623355039744","New York, USA","856565906125737984","2017-04-24 17:50:00","@realDonaldTrump @obamacare left me homeless at 56YO. True story. From home owner to a 2004 ford pickup &lt;----welcome home"
"322986132","New York","856565876228861953","2017-04-24 17:49:53","@mich4068_mich Another trump troll i see Well I get my news from everywhere and detect patterns Like gop nazis that are traitors like you"
"829834781701599232","New York, USA","856565816611008514","2017-04-24 17:49:39","@realDonaldTrump Trumpcare was dead at the start"
