"userid","userlocation","statusid","statustime","tweet"
"3159953220","Brooklyn, New York","851523794053320705","2017-04-10 19:54:27","@LilPastorT @BigDavesRants @POTUS Spoken like a true man of God."
"26177280","NYC, NY","851523440305725440","2017-04-10 19:53:03","@mitchellvii We know Trump is doing something right when McCain starts whining"
"355085595","New York State","851523363004657665","2017-04-10 19:52:44","@POTUS Can we first build up the military, that you said was so depleted during the campaign, before we start poking other super powers?"
"3119391910","Rochester, New York ","851523294020894720","2017-04-10 19:52:28","@thelaughingdirt I call for a total ""do over""  maybe then we can eliminate people like Hitler and Trump from history entirely"
"822642106745372672","New York, USA","851523255231959040","2017-04-10 19:52:19","@Trump__Girl  Amazing how those GPS trackers work"
"759038656761860096","New York, USA","851523191424012291","2017-04-10 19:52:04","@hansnesshey1: @realDonaldTrump how were your people are for a rock. Now it! #MELANIAMOX"
"106814808","New York, USA","851523165285167104","2017-04-10 19:51:57","@ForeignPolicy @itsWanda @Ksurana6 1848 borders mist if California, Utah, Nevada, New Mexico, and Arizona! Wow! Thanks Trump!!"
"103471919","New York, NY","851523150458368000","2017-04-10 19:51:54","Does Trump like American Cheese? I bet he does,  little nasty."
"3839284637","NYC / CHI / LA","851523082326077440","2017-04-10 19:51:38","Illegitimate @POTUS
Illegitimate #SCOTUS

Congrats #MAGA you have ruined America."
"63514105","Times Square New York City","851523043478437888","2017-04-10 19:51:28","@jerryspringer All part of the sham to make us think he and Russia are not friends. Carefully planned. Trump was the inventor of Fake News."
"124012818","Bronx, Brooklyn, NYC","851523024163667971","2017-04-10 19:51:24","@HuffingtonPost @LouiseMensch @HuffingtonPost @LouiseMensch Congrats @Fahrenthold Well done and deserved. @realDonaldTrump can sit on it!"
"786754118291451904","New Jersey/NYC","851522719766257664","2017-04-10 19:50:11","@zurrame @CPTWho @DianaBialkowski @johnonolenin @syqau need to stick with something that does - called work for a reason"
"3021841481","New York City","851522705472069632","2017-04-10 19:50:08","Congrats to @UnionSeminary for declaring itself a #sanctuary against the xenophobic anti-immigrant policies of the Trump Administration!"
"304372269","New York, NY","851522632835104771","2017-04-10 19:49:50","what is @POTUS going to do now that we know Russia knew about the chemical gas attacks before hand?"
"41607951","New York, New York USA","851522624370999298","2017-04-10 19:49:48","@ABC Transported from the White House to the Southern White House?"
"813128822254092288","New York, USA","851522084589232129","2017-04-10 19:47:40","@realDonaldTrump are you afraid of any Russian attacks if any please reply"
"116640323","New York, NY","851522031871029250","2017-04-10 19:47:27","I keep expecting @realDonaldTrump to come out in support of @united and how they drag losers off planes now"
