"userid","userlocation","statusid","statustime","tweet"
"4034252554","Michigan, USA","856566734538633216","2017-04-24 17:53:18","@Alifaith55 @Janfrog1 Trump is an idiot!"
"91407153","Michigan, USA","856566112259104769","2017-04-24 17:50:50","@bamalaker @oklegacy @realDonaldTrump Heather, in what sport were you a national champion?"
"824754410186211328","Michigan, USA","856566033989160960","2017-04-24 17:50:31","@realDonaldTrump You have the lowest numbers since the polls began."
"112969892","Michigan, U.S.A.","856565734490722305","2017-04-24 17:49:19","@realDonaldTrump Please VETO any Budget that lacks funds for wall. Take charge as Chief Exec Officer, just say no means something to me.#gop"
"57864164","Michigan Center, MI","856565734478106624","2017-04-24 17:49:19","@realDonaldTrump Please VETO any Budget that lacks funds for wall. Take charge as Chief Exec Officer, just say no means something to me.#gop"
"290992211","Michigan, U.S.A.","856565734415228928","2017-04-24 17:49:19","@realDonaldTrump Please VETO any Budget that lacks funds for wall. Take charge as Chief Exec Officer, just say no means something to me.#gop"
"729639848928235521","Alpena Michigan","856611219008094208","2017-04-24 20:50:04","@tyrone_eddy @realDonaldTrump @WorldJewishCong No we dont"
"397654773","Michigan","856611198703464448","2017-04-24 20:49:59","@mmpadellan @a35362 @realDonaldTrump you should take lessons on how to be a real president"
"117492693","East Lansing, MI","856611166629625856","2017-04-24 20:49:51","@altNOAA @TomWellborn Is trump not allowed alone with women? Ivanka always near by when women are near him."
"47432473","Ann Arbor, Michigan","856611028100141058","2017-04-24 20:49:18","@realDonaldTrump Like another ""very important tool"" we have to put up with...."
"1726031528","Michigan, USA","856609991448461313","2017-04-24 20:45:11","@RepAdamSchiff @jmiriah1 @POTUS Please Rep Schiff, help save us from this crazy man! What else can we the US citizens do?"
"793194936267145216","Michigan, USA","856609833541406721","2017-04-24 20:44:34","@pnehlen @TXCowboysRawk @MLP_officiel @POTUS send them all home and we will ponder it"
"42624506","west michigan","856609404912893957","2017-04-24 20:42:51","trump is a moron"
"47432473","Ann Arbor, Michigan","856608411160629250","2017-04-24 20:38:54","@ReutersPolitics Oh, how I wish Trump had a golf course or hotel in North Korea, right now...Or Ivanka was in military."
"1519606273","Michigan","856608311764033537","2017-04-24 20:38:31","@purplestar420 @realDonaldTrump The CIA is thousands of years old?"
"801979103607930880","Michigan, USA","856607842308149250","2017-04-24 20:36:39","@realDonaldTrump You must be so proud of yourself for finally acknowledging the holcaust. #Russiagate #BurrMustRecuse #CorrupTrump  1 /  2"
"1027007246","Menominee Michigan","856607647352721408","2017-04-24 20:35:52","@NatureGuy101 @ilipikapa @realDonaldTrump next Trump will go to an  asbestos factory and say they can have their jobs back to"
"21497371","northern michigan ","856607599382409216","2017-04-24 20:35:41","@realDonaldTrump @WorldJewishCong You have demetia"
"1519606273","Michigan","856607452107862023","2017-04-24 20:35:06","@realDonaldTrump But how else will you get your coke?"
"821950992589750278","Michigan, USA","856607288685199360","2017-04-24 20:34:27","@realDonaldTrump @WorldJewishCong Thank you so very much!!"
"729639848928235521","Alpena Michigan","856607216828379139","2017-04-24 20:34:10","Ex president thank god. Worst 8 years in American history. Presideny Trump will clean up the mess he left .7 years n 9 months left winning"
"117492693","East Lansing, MI","856606467050401792","2017-04-24 20:31:11","@realDonaldTrump Quit!"
"36644355","Michigan, USA","856606258970886144","2017-04-24 20:30:21","@williamlegate @realDonaldTrump Where do you get your insurance"
"705226107507884032","Michigan, USA","856605158251298816","2017-04-24 20:25:59","Hillary Clinton puts Donald &amp; Bernie to shame 
&amp;THE VOTES PROVE IT@realDonaldJTrur @SenSanders"
"705226107507884032","Michigan, USA","856604783041544193","2017-04-24 20:24:29","HILLARY should be our fair&amp;square POTUS. So sick n tired of the blame on HRC. 
No one ran a better campaign&amp; no one was a better candidate."
"823668668349476864","Michigan, USA","856604729769635840","2017-04-24 20:24:17","@Furiousnurse @AnneFrankCenter @BaskotaAyed @POTUS @realDonaldTrump I did not know that!!"
"376534185","Lake Michigan","856604260385075201","2017-04-24 20:22:25","@pfucci @MalcolmNance @realDonaldTrump @GOP Moonshine tonight, thanks @GOP"
"1911076292","Michigan","856602900914733056","2017-04-24 20:17:01","@ScottNevins @realDonaldTrump As long as its one-way"
"35104212","Michigan","856602622240841731","2017-04-24 20:15:54","@sarah_ca1831 @thehill I have dropped at least 3x as many F-bombs since Trump was elected. I am blaming HIM."
"327035651","Michigan","856602052079878144","2017-04-24 20:13:38","@RepAdamSchiff @POTUS ""How do you plan to do the thing?""
""By doing thing-doing."""
"376534185","Lake Michigan","856602049642975234","2017-04-24 20:13:38","@MalcolmNance @pfucci Scary situation, thanks, Donnie @realDonaldTrump @GOP"
"13785542","Michigan","856600235824615426","2017-04-24 20:06:25","I know we talk a lot about how Trump is still bashing Hillary, but like, there are some Bernie supporters who make him look amateur."
"199462863","Michigan","856598893131333634","2017-04-24 20:01:05",".@jilevin - #Sotomayor is a radical leftist ideologue who should never have been confirmed to #SCOTUS. @realDonaldTrump will fix the problem"
"349710531","Michigan, USA","856598357405519873","2017-04-24 19:58:57","@UnfollowTrump @realDonaldTrump we got a genius in our midst!"
"2793198927","Michigan, USA","856597179204608001","2017-04-24 19:54:16","@ADIC33 @realDonaldTrump #Trump is also the definition of delusional"
"787833978220793856","Michigan","856597130064130048","2017-04-24 19:54:05","@wilw Were you invited to the White House?"
"50332490","Michigan, USA","856596926501986306","2017-04-24 19:53:16","@elle2_0 The Roach would win if it ran against Trump in 2020..."
"16979863","Michigan","856596028027531264","2017-04-24 19:49:42","@realDonaldTrump your presidency is in a death spiral"
"16979863","Michigan","856595892920602624","2017-04-24 19:49:10","@realDonaldTrump are you off your meds?"
"61005918","Michigan","856595288714248192","2017-04-24 19:46:46","If Ivanka is going to play such a major role in the administration, she needs to stop referring to Trump as ""my father"" &amp; call him the pres."
