"userid","userlocation","statusid","statustime","tweet"
"732293613338693633","Michigan, USA","848669973639835648","2017-04-02 22:54:23","@GetCapturePoint @Derin5550 They did that with trump"
"42090137","Michigan","848669668382572545","2017-04-02 22:53:11","@BeastFireTimdog Trump being sworn into office"
"741784811539402752","Michigan","848669126998585345","2017-04-02 22:51:02","@RoseFromPhila @FBI Trump &amp; GOP are doing their best to dismantle every regulation designed to protect this country &amp; U.S. citizens."
"41049314","Michigan","848668797036896257","2017-04-02 22:49:43","@MarianneOno @FrMatthewLC @RichardBSpencer @realDonaldTrump By making Trump the subject of your Tweet you made it political."
"249284950","Michigan, USA","848668740610904065","2017-04-02 22:49:29","Oh, these poor deluded young @realDonaldTrump supporters. #msnbc #ThePoint"
"3052792481","Michigan, USA","848668203337351170","2017-04-02 22:47:21","@NBCNightlyNews Give me a break! Undocumented = illegal regardless of what country. #MSM is a disgrace and traitor to Americans. @POTUS"
"2164902228","Ann Arbor, Michigan","848668112404852736","2017-04-02 22:47:00","@politico America ponders why they are in the White House"
"775389665922646016","Detroit,MI","848667552519659521","2017-04-02 22:44:46","@trottier_r @gbollmann01 @WhiteHouse @POTUS K now shut the hell up will u troll ass wipe"
"806679468546867202","Michigan","848667308683911168","2017-04-02 22:43:48","@NBCNews Trump already sold our info"
"775389665922646016","Detroit,MI","848667286533685248","2017-04-02 22:43:43","@trottier_r @MJ19630711 @WhiteHouse @POTUS You need to go away like somewhere far in Mexico. Viva la raza pendeja weda."
"3424489361","Michigan, USA","848667183999844353","2017-04-02 22:43:18","@spencersandee @di8285502 @Lordozz @realDonaldTrump Are you here legally?"
"775389665922646016","Detroit,MI","848667062968832000","2017-04-02 22:42:49","@trottier_r whatever Donald trump cronie troll.Your dictator days r numbered and your psycho racist scumbag of a clown will soon b trumpless"
"800140580705550336","Michigan, USA","848666882701963265","2017-04-02 22:42:06","@euronews 

As long as CNN/NBC/NYT are not proving the numbers!"
"382467460","Michigan, USA","848666534918672385","2017-04-02 22:40:44","@realDonaldTrump never been more excited to be an American, God Bless the USA. So inspiring to have president that stands up for our country"
"4727228175","Dryden,Michigan-7 ponds","848666240117821440","2017-04-02 22:39:33","@realDonaldTrump @RepMarkMeadows @Jim_Jordan @Raul_Labrador Go trump"
"743722730621526016","Michigan, USA","848666136933670912","2017-04-02 22:39:09","Did Trump Aide Violate Federal Law With Tweet?"
"813560107254554624","Michigan, USA","848665602327707648","2017-04-02 22:37:01","#ThePoint Seriously, these are Trump-speak parrots. Not one fucking detail. Your poor parents."
"800140580705550336","Michigan, USA","848665277910921216","2017-04-02 22:35:44","@ABC 

I am glad ABC is reporting this but We all know that if an immigrant was involved they would have never reported this."
"2164902228","Ann Arbor, Michigan","848665249511243778","2017-04-02 22:35:37","@thehill trump us an illegal president send him tobrussia"
"800140580705550336","Michigan, USA","848664552728403969","2017-04-02 22:32:51","@washingtonpost 

Just the opposite. MSM/Dems struggle keeping it alive."
